miRNA,p_value,fold_change
hsa-miR-106a-5p+hsa-miR-17-5p,0.028606082315834207,-1.0227279515846395
hsa-miR-1255a,0.01822062089576328,1.8007192526763833
hsa-miR-1268b,0.04727419546430742,1.5266602013216526
hsa-miR-146b-3p,0.02859276593911677,1.7316177228406215
hsa-miR-147b,0.03279376963855495,1.7595879323331851
hsa-miR-1827,0.025746760352676902,1.2304797126669857
hsa-miR-183-5p,0.048969951736955404,1.805938953310996
hsa-miR-197-3p,0.023094481802150686,-2.1675240490182928
hsa-miR-19a-3p,0.0006105774986421363,-1.429975854508832
hsa-miR-19b-3p,0.013177846014041927,-1.054926114342999
hsa-miR-206,0.03608266400851265,1.3642990255462668
hsa-miR-20a-5p+hsa-miR-20b-5p,0.01611630284435667,-1.0745138608848162
hsa-miR-24-3p,0.019170926381988702,-1.6660196800577478
hsa-miR-301b-3p,0.002266294208996505,1.3466057736110306
hsa-miR-323a-3p,0.03516507354511429,-1.194198368889776
hsa-miR-363-5p,0.022785722134767938,1.2151035145443614
hsa-miR-450a-2-3p,0.039335791497743175,1.7572786270601992
hsa-miR-499a-5p,0.023170891768386624,3.032507869653434
hsa-miR-511-5p,0.04630361281090173,2.065219666333251
hsa-miR-513b-5p,0.0199442735539585,1.4799077444561717
hsa-miR-514b-5p,0.025766160888954344,1.339580444433265
hsa-miR-515-5p,0.016803851129658768,3.678623851191252
hsa-miR-520f-3p,0.004281642147464414,1.2139179636718371
hsa-miR-522-3p,0.03095449502573453,1.6996477862601462
hsa-miR-548e-3p,0.04893186743596605,1.4929225436857188
hsa-miR-548y,0.00947565379986523,1.3270839166929023
hsa-miR-553,0.02219011408375685,2.1732684445166828
hsa-miR-585-3p,0.0010589855905168183,1.7620472937363345
hsa-miR-93-5p,6.967012212422621e-05,-3.0996104846707886
hsa-miR-98-5p,0.021166354368279554,-1.2632043112306834
